TICKS,CPU%
1695100043.11,700.00
1695100044.61,700.00
1695100046.11,700.00
1695100047.62,700.00
1695100049.12,700.00
1695100050.62,700.00
1695100052.13,700.00
1695100053.63,700.00
1695100055.13,700.00
1695100056.63,700.00
1695100058.13,700.00
1695100059.64,700.00
1695100061.14,700.00
1695100062.64,700.00
1695100064.15,700.00
1695100065.65,700.00
1695100067.15,700.00
1695100068.65,700.00
1695100070.16,700.00
1695100071.66,700.00
1695100073.16,700.00
1695100074.67,700.00
1695100076.17,700.00
1695100077.67,700.00
1695100079.17,700.00
1695100080.68,700.00
1695100082.18,700.00
1695100083.68,700.00
1695100085.18,700.00
1695100086.69,700.00
1695100088.19,700.00
1695100089.69,700.00
1695100091.20,700.00
1695100092.70,700.00
1695100094.20,700.00
1695100095.70,700.00
1695100097.21,700.00
1695100098.71,700.00
1695100100.21,700.00
1695100101.71,700.00
1695100103.22,700.00
1695100104.72,700.00
1695100106.22,700.00
1695100107.72,700.00
1695100109.23,700.00
1695100110.73,700.00
1695100112.23,700.00
1695100113.74,700.00
1695100115.24,700.00
1695100116.74,700.00
1695100118.24,700.00
1695100119.75,700.00
1695100121.25,700.00
1695100122.75,700.00
1695100124.26,700.00
1695100125.76,700.00
1695100127.26,700.00
1695100128.76,700.00
1695100130.27,700.00
1695100131.77,700.00
1695100133.27,700.00
1695100134.77,700.00
1695100136.28,700.00
1695100137.78,700.00
1695100139.28,700.00
1695100140.78,700.00
1695100142.29,700.00
1695100143.79,700.00
1695100145.29,700.00
1695100146.80,700.00
1695100148.30,700.00
1695100149.80,700.00
1695100151.30,700.00
1695100152.81,700.00
1695100154.31,700.00
1695100155.81,700.00
1695100157.31,700.00
1695100158.84,700.00
1695100160.34,700.00
1695100161.84,700.00
1695100163.34,700.00
1695100164.85,700.00
1695100166.35,700.00
1695100167.85,700.00
1695100169.36,700.00
1695100170.86,700.00
1695100172.36,700.00
1695100173.86,700.00
1695100175.37,700.00
1695100176.87,700.00
1695100178.37,700.00
1695100179.88,700.00
