TICKS,CPU%
1697886045.62,0.00
1697886047.12,0.00
1697886048.62,0.00
1697886050.13,0.00
1697886051.63,26.10
1697886053.13,0.00
1697886054.63,0.00
1697886056.14,2.00
1697886057.64,2.00
1697886059.14,0.00
1697886060.64,2.00
1697886062.15,0.00
1697886063.65,2.00
1697886065.15,0.00
1697886066.65,2.00
1697886068.16,0.00
1697886069.66,0.00
1697886071.16,0.00
1697886072.66,2.00
1697886074.17,0.00
1697886075.67,2.00
1697886077.17,0.00
1697886078.67,0.00
1697886080.18,2.00
1697886081.68,2.00
1697886083.18,0.00
1697886084.68,0.00
1697886086.19,0.00
1697886087.69,2.00
1697886089.19,0.00
1697886090.69,4.00
1697886092.20,0.00
1697886093.70,4.00
1697886095.20,0.00
1697886096.70,0.00
1697886098.21,0.00
1697886099.71,0.00
1697886101.21,0.00
1697886102.72,0.00
1697886104.22,0.00
1697886105.72,2.00
1697886107.22,2.00
1697886108.73,0.00
1697886110.23,0.00
1697886111.73,4.00
1697886113.24,0.00
1697886114.74,4.00
1697886116.24,6.00
1697886117.74,0.00
1697886119.25,0.00
1697886120.75,0.00
1697886122.25,2.00
1697886123.76,4.00
1697886125.26,0.00
1697886126.77,0.00
1697886128.27,2.00
1697886129.77,0.00
1697886131.28,2.00
1697886132.78,4.00
1697886134.28,2.00
1697886135.78,0.00
1697886137.29,0.00
1697886138.79,0.00
1697886140.29,0.00
1697886141.79,0.00
1697886143.30,0.00
1697886144.80,0.00
1697886146.30,0.00
1697886147.80,0.00
1697886149.31,0.00
1697886150.81,2.00
1697886152.31,2.00
1697886153.81,0.00
1697886155.32,0.00
1697886156.82,0.00
1697886158.32,0.00
1697886159.82,0.00
1697886161.33,2.00
1697886162.83,0.00
1697886164.33,0.00
1697886165.83,0.00
1697886167.34,0.00
1697886168.84,2.00
1697886170.34,0.00
1697886171.84,4.00
1697886173.35,0.00
1697886174.85,0.00
1697886176.35,0.00
1697886177.86,2.00
1697886179.36,2.00
1697886180.86,4.00
1697886182.36,0.00
1697886183.87,0.00
1697886185.37,0.00
1697886186.87,2.00
1697886188.37,4.00
1697886189.88,2.00
1697886191.38,0.00
1697886192.88,2.00
1697886194.39,0.00
1697886195.89,0.00
1697886197.39,0.00
1697886198.89,2.00
1697886200.40,2.00
1697886201.90,2.00
1697886203.40,0.00
1697886204.90,6.00
1697886206.41,0.00
1697886207.91,2.00
1697886209.41,2.00
1697886210.91,2.00
1697886212.42,0.00
1697886213.92,2.00
1697886215.42,0.00
1697886216.93,2.00
1697886218.43,4.00
1697886219.93,4.00
1697886221.43,0.00
1697886222.94,2.00
1697886224.44,0.00
1697886225.94,0.00
1697886227.44,2.00
1697886228.95,6.00
1697886230.45,0.00
1697886231.95,0.00
1697886233.45,0.00
1697886234.96,2.00
1697886236.46,2.00
1697886237.96,5.90
1697886239.46,0.00
1697886240.97,2.00
1697886242.47,0.00
1697886243.97,0.00
1697886245.48,2.00
1697886246.98,4.00
1697886248.48,4.00
1697886249.98,0.00
1697886251.48,2.00
1697886252.99,2.00
1697886254.49,0.00
1697886255.99,0.00
1697886257.49,2.00
1697886259.00,2.00
1697886260.50,0.00
1697886262.00,0.00
1697886263.50,2.00
1697886265.01,0.00
1697886266.51,0.00
1697886268.01,0.00
1697886269.51,0.00
1697886271.02,0.00
1697886272.52,0.00
1697886274.02,2.00
1697886275.53,0.00
1697886277.03,2.00
1697886278.53,0.00
1697886280.03,0.00
1697886281.54,0.00
1697886283.04,2.00
1697886284.54,0.00
1697886286.04,0.00
1697886287.55,0.00
1697886289.05,0.00
1697886290.55,0.00
1697886292.05,2.00
1697886293.56,2.00
1697886295.06,0.00
1697886296.56,0.00
1697886298.06,2.00
1697886299.57,0.00
1697886301.07,0.00
1697886302.57,0.00
1697886304.07,0.00
1697886305.58,0.00
1697886307.08,2.00
