TICKS,Net_recv,Net_sent
1697885059.23,174.62,3.99
1697885060.23,174.62,3.99
1697885061.23,174.62,3.99
1697885062.23,174.62,3.99
1697885063.23,174.62,3.99
1697885064.24,174.62,3.99
1697885065.24,174.62,3.99
1697885066.24,174.62,3.99
1697885067.24,174.62,3.99
1697885068.24,174.62,3.99
1697885069.24,174.62,3.99
1697885070.24,174.62,3.99
1697885071.25,174.62,3.99
1697885072.25,174.62,3.99
1697885073.25,174.62,3.99
1697885074.25,174.62,3.99
1697885075.25,174.62,3.99
1697885076.25,174.62,3.99
1697885077.25,174.62,3.99
1697885078.26,174.62,3.99
1697885079.26,174.62,3.99
1697885080.26,174.62,3.99
1697885081.26,174.62,3.99
1697885082.26,174.62,3.99
1697885083.26,174.62,3.99
1697885084.26,174.62,3.99
1697885085.26,174.62,3.99
1697885086.27,174.62,3.99
1697885087.27,174.63,3.99
1697885088.27,174.63,3.99
1697885089.27,174.63,3.99
1697885090.27,174.63,3.99
1697885091.27,174.63,3.99
1697885092.28,174.63,3.99
1697885093.28,174.63,3.99
1697885094.28,174.63,3.99
1697885095.28,174.63,3.99
1697885096.28,174.63,3.99
1697885097.28,174.63,3.99
1697885098.29,174.63,3.99
1697885099.29,174.63,3.99
1697885100.29,174.63,3.99
1697885101.29,174.63,3.99
1697885102.29,174.63,3.99
1697885103.29,174.63,3.99
1697885104.29,174.63,3.99
1697885105.29,174.63,3.99
1697885106.30,174.63,3.99
1697885107.30,174.63,3.99
1697885108.30,174.63,3.99
1697885109.30,174.63,3.99
1697885110.30,174.63,3.99
1697885111.30,174.63,3.99
1697885112.31,174.63,3.99
1697885113.31,174.63,3.99
1697885114.31,174.63,3.99
1697885115.31,174.63,3.99
1697885116.31,174.63,3.99
1697885117.31,174.63,3.99
1697885118.32,174.63,3.99
1697885119.32,174.63,3.99
1697885120.32,174.63,3.99
1697885121.32,174.63,3.99
1697885122.32,174.63,3.99
1697885123.32,174.63,3.99
1697885124.33,174.63,3.99
1697885125.33,174.63,3.99
1697885126.33,174.63,3.99
1697885127.33,174.63,3.99
1697885128.33,174.63,3.99
1697885129.33,174.63,3.99
1697885130.33,174.63,3.99
1697885131.34,174.63,3.99
1697885132.34,174.63,3.99
1697885133.34,174.63,3.99
1697885134.34,174.63,3.99
1697885135.34,174.63,3.99
1697885136.34,174.63,3.99
1697885137.35,174.63,3.99
1697885138.35,174.63,3.99
1697885139.35,174.63,3.99
1697885140.35,174.63,3.99
1697885141.35,174.63,3.99
1697885142.36,174.63,3.99
1697885143.36,174.63,3.99
1697885144.36,174.64,3.99
1697885145.36,174.64,3.99
1697885146.36,174.64,3.99
1697885147.36,174.64,3.99
1697885148.36,174.64,3.99
1697885149.37,174.64,3.99
1697885150.37,174.64,3.99
1697885151.37,174.64,3.99
1697885152.37,174.64,3.99
1697885153.37,174.64,3.99
1697885154.37,174.64,3.99
1697885155.37,174.64,3.99
1697885156.38,174.64,3.99
1697885157.38,174.64,3.99
1697885158.38,174.64,3.99
1697885159.38,174.64,3.99
1697885160.38,174.64,3.99
1697885161.38,174.64,3.99
1697885162.39,174.64,3.99
1697885163.39,174.64,3.99
1697885164.39,174.64,3.99
1697885165.39,174.64,3.99
1697885166.39,174.64,3.99
1697885167.39,174.64,3.99
1697885168.39,174.64,3.99
1697885169.39,174.64,3.99
1697885170.40,174.64,3.99
1697885171.40,174.64,3.99
1697885172.40,174.64,3.99
1697885173.40,174.64,3.99
1697885174.40,174.64,3.99
1697885175.40,174.64,3.99
1697885176.41,174.64,3.99
1697885177.41,174.64,3.99
1697885178.41,174.64,3.99
1697885179.41,174.64,3.99
1697885180.41,174.64,3.99
1697885181.41,174.64,3.99
1697885182.42,174.64,3.99
1697885183.42,174.64,3.99
1697885184.42,174.64,3.99
1697885185.42,174.64,3.99
1697885186.42,174.64,3.99
1697885187.42,174.64,3.99
1697885188.42,174.64,3.99
1697885189.43,174.64,3.99
1697885190.43,174.64,3.99
1697885191.43,174.64,3.99
1697885192.43,174.64,3.99
1697885193.43,174.64,3.99
1697885194.43,174.64,3.99
1697885195.44,174.64,3.99
1697885196.44,174.64,3.99
1697885197.44,174.64,3.99
1697885198.44,174.64,3.99
1697885199.44,174.64,3.99
1697885200.44,174.64,3.99
1697885201.44,174.65,3.99
1697885202.45,174.65,3.99
1697885203.45,174.65,3.99
1697885204.45,174.65,3.99
1697885205.45,174.65,3.99
1697885206.45,174.65,3.99
1697885207.45,174.65,3.99
1697885208.46,174.65,3.99
1697885209.46,174.65,3.99
1697885210.46,174.65,3.99
1697885211.46,174.65,3.99
1697885212.46,174.65,3.99
1697885213.46,174.65,3.99
1697885214.47,174.65,3.99
1697885215.47,174.65,3.99
1697885216.47,174.65,3.99
1697885217.47,174.65,3.99
1697885218.47,174.65,3.99
1697885219.47,174.65,3.99
1697885220.47,174.65,3.99
1697885221.48,174.65,3.99
1697885222.48,174.65,3.99
1697885223.48,174.65,3.99
1697885224.48,174.65,3.99
1697885225.48,174.65,3.99
1697885226.48,174.65,3.99
1697885227.49,174.65,3.99
1697885228.49,174.65,3.99
1697885229.49,174.65,3.99
1697885230.49,174.65,3.99
1697885231.49,174.65,3.99
1697885232.49,174.65,3.99
1697885233.50,174.65,3.99
1697885234.50,174.65,3.99
1697885235.50,174.65,3.99
1697885236.50,174.65,3.99
1697885237.50,174.65,3.99
1697885238.50,174.65,3.99
1697885239.50,174.65,3.99
1697885240.51,174.65,3.99
1697885241.51,174.65,3.99
1697885242.51,174.65,3.99
1697885243.51,174.65,3.99
1697885244.51,174.65,3.99
1697885245.51,174.65,3.99
1697885246.51,174.65,3.99
1697885247.52,174.65,3.99
1697885248.52,174.65,3.99
1697885249.52,174.66,3.99
1697885250.52,174.66,3.99
1697885251.52,174.66,3.99
1697885252.52,174.66,3.99
1697885253.53,174.66,3.99
1697885254.53,174.66,3.99
1697885255.53,174.66,3.99
1697885256.53,174.66,3.99
1697885257.53,174.66,3.99
1697885258.53,174.66,3.99
1697885259.54,174.66,3.99
1697885260.54,174.66,3.99
1697885261.54,174.66,3.99
1697885262.54,174.66,3.99
1697885263.54,174.66,3.99
1697885264.54,174.66,3.99
1697885265.55,174.66,3.99
1697885266.55,174.66,3.99
1697885267.55,174.66,3.99
1697885268.55,174.66,3.99
1697885269.55,174.66,3.99
1697885270.55,174.66,3.99
1697885271.55,174.66,3.99
1697885272.56,174.66,3.99
1697885273.56,174.66,3.99
1697885274.56,174.66,3.99
1697885275.56,174.66,3.99
1697885276.56,174.66,3.99
1697885277.56,174.66,3.99
1697885278.56,174.66,3.99
1697885279.57,174.66,3.99
1697885280.57,174.66,3.99
1697885281.57,174.66,3.99
1697885282.57,174.66,3.99
1697885283.57,174.66,3.99
1697885284.57,174.66,3.99
1697885285.58,174.66,3.99
1697885286.58,174.66,3.99
1697885287.58,174.66,3.99
1697885288.58,174.66,3.99
1697885289.58,174.66,3.99
1697885290.58,174.66,3.99
1697885291.59,174.66,3.99
1697885292.59,174.66,3.99
1697885293.59,174.66,3.99
1697885294.59,174.66,3.99
1697885295.59,174.66,3.99
1697885296.59,174.66,3.99
1697885297.59,174.66,3.99
1697885298.60,174.66,3.99
1697885299.60,174.66,3.99
1697885300.60,174.66,3.99
1697885301.60,174.66,3.99
1697885302.60,174.66,3.99
1697885303.60,174.66,3.99
1697885304.60,174.66,3.99
1697885305.60,174.66,3.99
1697885306.61,174.67,3.99
1697885307.61,174.67,3.99
1697885308.61,174.67,3.99
1697885309.61,174.67,3.99
1697885310.61,174.67,3.99
1697885311.61,174.67,3.99
1697885312.61,174.67,3.99
1697885313.62,174.67,3.99
1697885314.62,174.67,3.99
1697885315.62,174.67,3.99
1697885316.62,174.67,3.99
1697885317.62,174.67,3.99
1697885318.62,174.67,3.99
1697885319.63,174.67,3.99
1697885320.63,174.67,3.99
1697885321.63,174.67,3.99
1697885322.63,174.67,3.99
1697885323.63,174.67,3.99
1697885324.63,174.67,3.99
1697885325.64,174.67,3.99
1697885326.64,174.67,3.99
1697885327.64,174.67,3.99
1697885328.64,174.67,3.99
1697885329.64,174.67,3.99
1697885330.64,174.67,3.99
1697885331.65,174.67,3.99
1697885332.65,174.67,3.99
1697885333.65,174.67,3.99
1697885334.65,174.67,3.99
1697885335.65,174.67,3.99
1697885336.65,174.67,3.99
1697885337.66,174.67,3.99
1697885338.66,174.67,3.99
1697885339.66,174.67,3.99
1697885340.66,174.67,3.99
1697885341.66,174.67,3.99
1697885342.66,174.67,3.99
1697885343.67,174.67,3.99
1697885344.67,174.67,3.99
1697885345.67,174.67,3.99
1697885346.67,174.67,3.99
1697885347.67,174.67,3.99
1697885348.67,174.67,3.99
1697885349.67,174.67,3.99
