TICKS,Memoryper%
1697885501.91,34.40
1697885502.91,34.40
1697885503.91,34.40
1697885504.92,34.40
1697885505.92,34.40
1697885506.92,34.40
1697885507.92,34.40
1697885508.92,34.40
1697885509.92,34.40
1697885510.92,34.40
1697885511.93,34.40
1697885512.93,34.40
1697885513.93,34.40
1697885514.93,34.40
1697885515.93,34.40
1697885516.93,34.40
1697885517.94,34.40
1697885518.94,34.40
1697885519.94,34.40
1697885520.94,34.40
1697885521.94,34.40
1697885522.94,34.40
1697885523.95,34.40
1697885524.95,34.40
1697885525.95,34.40
1697885526.95,34.40
1697885527.95,34.40
1697885528.95,34.40
1697885529.96,34.40
1697885530.96,34.40
1697885531.96,34.40
1697885532.96,34.40
1697885533.96,34.40
1697885534.96,34.40
1697885535.97,34.30
1697885536.97,34.30
1697885537.97,34.40
1697885538.97,34.40
1697885539.97,34.30
1697885540.97,34.30
1697885541.97,34.30
1697885542.98,34.30
1697885543.98,34.30
1697885544.98,34.30
1697885545.98,34.30
1697885546.98,34.30
1697885547.98,34.30
1697885548.98,34.30
1697885549.99,34.30
1697885550.99,34.30
1697885551.99,34.30
1697885552.99,34.30
1697885553.99,34.30
1697885554.99,34.30
1697885555.99,34.30
1697885556.99,34.30
1697885558.00,34.30
1697885559.00,34.30
1697885560.00,34.30
1697885561.00,34.30
1697885562.00,34.30
1697885563.00,34.30
1697885564.01,34.30
1697885565.01,34.30
1697885566.01,34.30
1697885567.01,34.30
1697885568.01,34.30
1697885569.01,34.30
1697885570.01,34.30
1697885571.02,34.30
1697885572.02,34.30
1697885573.02,34.30
1697885574.02,34.30
1697885575.02,34.30
1697885576.02,34.30
1697885577.03,34.30
1697885578.03,34.30
1697885579.03,34.30
1697885580.03,34.30
1697885581.03,34.30
1697885582.03,34.30
1697885583.04,34.30
1697885584.04,34.30
1697885585.04,34.30
1697885586.04,34.30
1697885587.04,34.30
1697885588.04,34.30
1697885589.04,34.30
1697885590.05,34.30
1697885591.05,34.30
1697885592.05,34.30
